.,.,.,.,.,.,0,0,0,0,.,.,.,.,.,.,00,00,00,00,FF,CC,33,FF
.,.,.,.,.,0,3,3,3,3,0,.,.,.,.,.,00,33,CC,00,FF,88,11,FF
.,.,.,.,.,0,3,3,3,3,0,.,.,.,.,.,00,33,CC,00,FF,88,11,FF
.,.,.,.,0,3,3,3,3,3,3,0,.,.,.,.,00,77,EE,00,FF,00,00,FF
.,.,.,.,0,3,3,3,3,3,3,0,.,.,.,.,00,77,EE,00,FF,00,00,FF
.,.,.,.,0,3,3,3,3,3,3,0,.,.,.,.,00,77,EE,00,FF,00,00,FF
.,.,.,.,0,3,3,3,3,3,3,0,.,.,.,.,00,77,EE,00,FF,00,00,FF
.,.,.,0,3,3,3,3,3,3,3,3,0,.,.,.,00,FF,FF,00,EE,00,00,77
.,.,.,0,3,3,3,3,3,3,3,3,0,.,.,.,00,FF,FF,00,EE,00,00,77
.,.,.,0,3,3,1,3,3,3,3,3,0,.,.,.,00,DF,FF,00,EE,00,00,77
.,.,.,0,3,3,3,3,1,3,3,3,0,.,.,.,00,FF,7F,00,EE,00,00,77
.,.,.,0,3,3,3,3,3,3,3,3,0,.,.,.,00,FF,FF,00,EE,00,00,77
.,.,.,0,3,3,1,1,1,1,3,3,0,.,.,.,00,CF,3F,00,EE,00,00,77
.,.,.,0,3,3,3,1,1,3,3,3,0,.,.,.,00,EF,7F,00,EE,00,00,77
.,.,.,0,3,3,3,1,1,3,1,3,0,.,.,.,00,EF,5F,00,EE,00,00,77
.,.,.,0,3,3,1,1,1,3,3,3,0,.,.,.,00,CF,7F,00,EE,00,00,77
.,.,.,0,3,3,3,1,1,3,3,3,0,.,.,.,00,EF,7F,00,EE,00,00,77
.,.,.,0,3,3,1,1,1,1,3,3,0,.,.,.,00,CF,3F,00,EE,00,00,77
.,.,.,0,3,1,3,1,1,3,1,3,0,.,.,.,00,AF,5F,00,EE,00,00,77
.,.,.,0,3,3,3,1,1,3,3,3,0,.,.,.,00,EF,7F,00,EE,00,00,77
.,.,.,0,3,3,1,1,1,1,3,3,0,.,.,.,00,CF,3F,00,EE,00,00,77
.,.,.,0,3,3,3,3,3,3,3,3,0,.,.,.,00,FF,FF,00,EE,00,00,77
.,.,.,0,3,3,3,1,3,1,3,3,0,.,.,.,00,EF,BF,00,EE,00,00,77
.,.,.,0,3,3,3,3,3,3,3,3,0,.,.,.,00,FF,FF,00,EE,00,00,77
.,.,.,0,3,3,3,3,3,3,3,3,0,.,.,.,00,FF,FF,00,EE,00,00,77
.,.,.,.,0,3,3,3,3,3,3,0,.,.,.,.,00,77,EE,00,FF,00,00,FF
.,.,.,.,0,3,3,3,3,3,3,0,.,.,.,.,00,77,EE,00,FF,00,00,FF
.,.,.,.,0,3,3,3,3,3,3,0,.,.,.,.,00,77,EE,00,FF,00,00,FF
.,.,.,.,0,3,3,3,3,3,3,0,.,.,.,.,00,77,EE,00,FF,00,00,FF
.,.,.,.,.,0,3,3,3,3,0,.,.,.,.,.,00,33,CC,00,FF,88,11,FF
.,.,.,.,.,0,3,3,3,3,0,.,.,.,.,.,00,33,CC,00,FF,88,11,FF
.,.,.,.,.,.,0,0,0,0,.,.,.,.,.,.,00,00,00,00,FF,CC,33,FF
