.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,00,00,00,00,FF,FF,FF,FF
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,00,00,00,00,FF,FF,FF,FF
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,00,00,00,00,FF,FF,FF,FF
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,00,00,00,00,FF,FF,FF,FF
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,00,00,00,00,FF,FF,FF,FF
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,00,00,00,00,FF,FF,FF,FF
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,00,00,00,00,FF,FF,FF,FF
.,.,.,.,.,1,3,3,1,3,3,.,.,.,.,.,00,37,6E,00,FF,88,11,FF
.,.,.,.,3,3,.,1,3,1,.,1,.,.,.,.,00,CD,8D,00,FF,22,22,FF
.,.,.,3,1,.,1,3,3,3,3,3,3,.,.,.,11,1B,FF,88,EE,44,00,77
.,.,.,1,3,3,3,3,3,3,3,3,.,.,.,.,01,FF,FF,00,EE,00,00,FF
.,.,3,.,3,1,3,3,3,1,3,3,3,3,.,.,22,BF,BF,CC,DD,00,00,33
.,.,3,3,3,3,3,3,3,3,3,3,3,3,.,.,33,FF,FF,CC,CC,00,00,33
.,3,3,3,3,3,3,3,3,3,33,3,1,3,33,.,77,FF,#NUM!,#NUM!,88,00,00,11
.,3,3,3,3,3,3,3,33,3,33,3,3,3,3,.,#NUM!,FF,#NUM!,EE,88,00,00,11
3,3,3,3,3,3,3,3,33,3,3,3,3,3,3,3,FF,FF,#NUM!,FF,00,00,00,00
