.,.,.,.,0,0,0,.,.,.,.,.,.,.,.,.,00,00,00,00,FF,11,FF,FF
.,.,.,0,2,2,2,0,.,.,.,.,.,.,.,.,00,E0,00,00,EE,00,FF,FF
.,.,0,2,2,2,2,2,0,.,.,.,.,.,.,.,10,F0,00,00,CC,00,77,FF
.,.,0,2,2,2,2,2,2,0,.,.,.,.,.,.,10,F0,80,00,CC,00,33,FF
.,.,0,2,2,2,0,0,0,0,.,.,.,.,.,.,10,C0,00,00,CC,00,33,FF
0,.,0,2,0,0,3,3,3,0,.,.,.,.,.,.,10,30,88,00,44,00,33,FF
2,0,0,0,0,3,3,2,3,0,.,.,.,.,.,.,80,F0,88,00,00,00,33,FF
2,2,2,2,0,3,3,3,3,3,.,.,.,.,.,.,F0,C0,CC,00,00,00,33,FF
0,0,2,2,0,3,3,3,3,0,.,.,.,.,.,.,30,03,88,00,00,00,33,FF
.,.,0,0,1,3,3,0,0,.,.,.,.,.,.,.,00,0F,00,00,CC,00,77,FF
.,.,0,0,0,1,1,0,.,.,.,0,.,.,.,.,00,07,00,00,CC,00,EE,FF
.,.,.,0,2,0,0,0,.,.,0,1,.,.,.,.,00,81,01,00,EE,00,CC,FF
.,.,.,0,2,2,2,0,0,0,3,1,.,.,.,.,00,60,23,00,EE,00,00,FF
.,.,0,2,2,2,0,2,2,2,3,0,.,.,.,.,10,B0,E2,00,CC,00,00,FF
.,.,0,2,0,2,2,2,2,2,0,.,.,.,.,.,10,B0,C0,00,CC,00,11,FF
.,.,0,2,0,2,2,2,0,0,.,.,.,.,.,.,10,B0,00,00,CC,00,33,FF
.,.,0,2,0,0,0,0,2,0,.,.,.,.,.,.,10,A0,80,00,CC,00,33,FF
.,.,0,2,2,0,2,2,2,0,.,.,.,.,.,.,10,90,80,00,CC,00,33,FF
.,.,0,2,2,2,2,2,0,0,.,.,.,.,.,.,10,F0,00,00,CC,00,33,FF
.,.,.,0,1,1,1,1,0,.,.,.,.,.,.,.,00,F0,00,00,EE,00,77,FF
.,.,.,0,1,1,1,1,0,.,.,.,.,.,.,.,00,40,00,00,EE,00,77,FF
.,.,0,1,1,1,1,1,0,.,.,.,.,.,.,.,01,30,00,00,CC,00,77,FF
.,.,0,1,1,1,1,1,0,.,.,.,.,.,.,.,01,F0,00,00,CC,00,77,FF
.,.,0,1,1,1,1,1,0,.,.,.,.,.,.,.,01,F0,00,00,CC,00,77,FF
.,.,0,1,1,1,1,1,0,.,.,.,.,.,.,.,01,F0,00,00,CC,00,77,FF
.,.,0,1,1,1,0,1,1,0,.,.,.,.,.,.,01,F0,08,00,CC,00,33,FF
.,.,0,1,1,0,1,1,1,0,.,.,.,.,.,.,01,F0,08,00,CC,00,33,FF
.,.,0,1,1,0,1,1,1,0,.,.,.,.,.,.,01,F0,08,00,CC,00,33,FF
.,.,.,0,0,0,0,0,0,.,.,.,.,.,.,.,00,00,00,00,EE,00,77,FF
.,.,0,3,0,0,0,3,0,0,.,.,.,.,.,.,11,77,00,00,CC,00,33,FF
.,.,0,3,3,0,3,3,3,3,0,.,.,.,.,.,11,77,CC,00,CC,00,11,FF
.,.,0,3,3,0,0,3,3,0,.,.,.,.,.,.,11,BB,88,00,CC,00,33,FF
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,00,00,00,00,FF,FF,FF,FF
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,00,E0,00,00,FF,FF,FF,FF
.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,00,F0,00,00,FF,FF,EE,FF
