.,0,3,3,0,.,0,.,.,.,.,.,.,.,.,.,33,00,00,00,88,55,FF,FF
.,.,0,3,3,0,3,.,.,.,.,.,.,.,.,.,11,AA,00,00,CC,11,FF,FF
.,.,0,3,3,0,.,0,.,.,.,.,.,.,.,.,11,88,00,00,CC,22,FF,FF
.,.,0,0,3,0,0,3,.,.,.,.,.,.,.,.,00,99,00,00,CC,00,FF,FF
.,0,3,0,3,0,3,0,.,.,.,.,.,.,.,.,22,AA,00,00,88,00,FF,FF
0,3,3,3,3,0,0,.,.,.,.,.,.,.,.,.,77,88,00,00,00,11,FF,FF
0,3,3,3,3,3,3,.,.,.,.,.,.,.,.,.,77,EE,00,00,00,11,FF,FF
3,3,3,3,3,3,3,0,.,.,.,.,.,.,.,.,FF,EE,00,00,00,00,FF,FF
3,3,3,3,3,3,3,0,.,.,.,.,.,.,.,.,FF,EE,00,00,00,00,FF,FF
3,3,3,3,3,3,3,0,.,.,.,.,.,.,.,.,FF,EE,00,00,00,00,FF,FF
0,3,3,3,3,3,3,0,.,.,.,.,.,.,.,.,77,EE,00,00,00,00,FF,FF
0,3,3,3,3,3,3,0,.,.,.,.,.,.,.,.,77,EE,00,00,00,00,FF,FF
.,0,3,3,0,3,0,.,.,.,.,.,.,.,.,.,33,44,00,00,88,11,FF,FF
.,0,3,0,.,0,3,0,.,.,.,.,.,.,.,.,22,22,00,00,88,88,FF,FF
.,.,0,3,0,3,0,.,.,.,.,.,.,.,.,.,11,44,00,00,CC,11,FF,FF
.,.,.,0,.,0,.,.,.,.,.,.,.,.,.,.,00,00,00,00,EE,BB,FF,FF
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,00,00,00,00,FF,FF,FF,FF
.,.,.,.,.,0,0,.,.,.,.,.,.,.,.,.,00,00,00,00,FF,99,FF,FF
.,.,0,.,0,3,3,0,.,.,.,.,.,.,.,.,00,66,00,00,DD,00,FF,FF
.,0,3,0,0,3,0,.,.,.,.,.,.,.,.,.,22,44,00,00,88,11,FF,FF
0,3,3,0,3,3,0,.,.,.,.,.,.,.,.,.,66,CC,00,00,00,11,FF,FF
0,3,3,0,0,0,0,.,.,.,.,.,.,.,.,.,66,00,00,00,00,11,FF,FF
3,3,3,3,3,3,3,0,.,.,.,.,.,.,.,.,FF,EE,00,00,00,00,FF,FF
3,3,3,3,3,3,3,0,.,.,.,.,.,.,.,.,FF,EE,00,00,00,00,FF,FF
3,3,3,3,3,3,3,0,.,.,.,.,.,.,.,.,FF,EE,00,00,00,00,FF,FF
3,3,3,3,3,3,3,0,.,.,.,.,.,.,.,.,FF,EE,00,00,00,00,FF,FF
0,3,0,3,0,0,0,.,.,.,.,.,.,.,.,.,55,00,00,00,00,11,FF,FF
0,3,0,3,3,0,3,0,.,.,.,.,.,.,.,.,55,AA,00,00,00,00,FF,FF
3,0,.,0,3,0,3,0,.,.,.,.,.,.,.,.,88,AA,00,00,22,00,FF,FF
0,.,0,3,0,3,0,.,.,.,.,.,.,.,.,.,11,44,00,00,44,11,FF,FF
.,.,0,3,0,0,.,.,.,.,.,.,.,.,.,.,11,00,00,00,CC,33,FF,FF
.,.,.,0,.,.,.,.,.,.,.,.,.,.,.,.,00,00,00,00,EE,FF,FF,FF
