.,.,.,.,.,.,0,0,0,0,.,.,.,.,.,.,00,00,00,00,FF,CC,33,FF
.,.,.,.,.,0,3,3,3,3,0,.,.,.,.,.,00,33,CC,00,FF,88,11,FF
.,.,.,.,.,0,3,3,1,3,0,.,.,.,.,.,00,33,4C,00,FF,88,11,FF
.,.,.,.,.,0,3,3,3,3,0,0,0,0,.,.,00,33,CC,00,FF,88,00,33
.,.,.,.,0,3,3,3,3,1,1,1,1,3,0,.,00,77,8F,4C,FF,00,00,11
.,.,.,.,0,3,3,3,3,1,1,1,1,3,0,.,00,77,8F,4C,FF,00,00,11
.,.,.,.,.,0,3,3,3,3,0,0,0,0,.,.,00,33,CC,00,FF,88,00,33
.,.,.,.,.,0,3,3,3,3,0,.,.,.,.,.,00,33,CC,00,FF,88,11,FF
.,.,.,.,.,0,3,3,3,3,0,.,.,.,.,.,00,33,CC,00,FF,88,11,FF
.,.,.,.,.,0,3,3,3,3,0,.,.,.,.,.,00,#NUM!,#NUM!,00,FF,88,11,FF
.,.,.,.,0,2,3,3,3,3,0,.,.,.,.,.,00,73,CC,00,FF,00,11,FF
.,.,.,0,2,2,2,2,3,3,0,.,.,.,.,.,00,F0,CC,00,EE,00,11,FF
.,.,.,0,2,2,0,0,2,2,0,.,.,.,.,.,00,C0,C0,00,EE,00,11,FF
.,.,0,2,2,0,.,0,2,2,2,0,.,.,.,.,10,80,E0,00,CC,22,00,FF
.,.,0,2,0,.,.,.,0,2,2,2,0,.,.,.,10,#REF!,70,00,CC,#REF!,00,77
.,.,.,0,.,.,.,.,.,0,0,0,.,.,.,.,00,00,00,00,EE,FF,88,FF
