T01 █ Bedrock ,,,,,,,,,
0,0,0,0,2,0,0,2,00,90
0,0,0,0,0,2,2,0,00,60
0,0,0,0,0,0,0,0,00,00
0,0,0,0,0,0,0,0,00,00
2,2,0,0,0,0,0,0,C0,00
0,0,2,0,0,0,0,2,20,10
0,0,0,2,0,0,2,0,10,20
0,0,0,2,0,0,2,0,10,20
0,0,0,2,0,0,2,0,10,20
0,0,0,2,0,0,2,0,10,20
0,0,2,0,0,0,0,2,20,10
2,2,0,0,0,0,0,0,C0,00
0,0,0,0,0,0,0,0,00,00
0,0,0,0,0,0,0,0,00,00
0,0,0,0,0,2,2,0,00,60
0,0,0,0,2,0,0,2,00,90
,,,,,,,,,
,,,,,,,,,
T02 ╥ Bedrock + Wall Top ,,,,,,,,,
0,0,0,0,0,0,2,0,00,20
2,2,2,2,2,2,0,2,F0,D0
2,0,2,2,2,2,2,2,B0,F0
2,2,2,2,2,2,0,2,F0,D0
2,2,2,2,2,2,2,2,F0,F0
0,0,2,0,0,0,0,2,20,10
0,0,0,2,0,0,2,0,10,20
0,0,0,2,0,0,2,0,10,20
0,0,0,2,0,0,2,0,10,20
0,0,0,2,0,0,2,0,10,20
0,0,2,0,0,0,0,2,20,10
2,2,0,0,0,0,0,0,C0,00
0,0,0,0,0,0,0,0,00,00
0,0,0,0,0,0,0,0,00,00
0,0,0,0,0,2,2,0,00,60
0,0,0,0,2,0,0,2,00,90
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
T03  ╢ Bedrock + Wall Right,,,,,,,,,
0,0,0,0,2,2,2,0,00,E0
0,0,0,0,2,2,0,0,00,C0
0,0,0,0,2,2,2,0,00,E0
0,0,0,0,0,2,2,0,00,60
2,2,0,0,2,2,2,0,C0,E0
0,0,2,0,2,2,2,0,20,E0
0,0,0,2,2,2,2,0,10,E0
0,0,0,2,2,2,2,0,10,E0
0,0,0,2,2,0,2,0,10,A0
0,0,0,2,2,2,2,0,10,E0
0,0,2,0,0,2,0,2,20,50
2,2,0,0,2,2,2,0,C0,E0
0,0,0,0,2,2,2,0,00,E0
0,0,0,0,2,0,2,0,00,A0
