1,1,2,2,2,2,1,2,1,2,1,2,2,2,1,1,3C,D2,5A,C3,00,00,00,00
.,1,1,2,2,1,2,2,1,2,11,2,2,1,1,.,16,B4,FA,86,88,00,00,11
.,1,1,1,11,2,1,1,1,2,1,2,1,1,1,.,07,#NUM!,5A,0E,88,00,00,11
.,.,1,1,1,1,1,2,3,1,1,1,1,1,.,.,03,1E,8F,0C,CC,00,00,33
.,.,1,3,1,1,1,1,1,1,1,1,1,1,.,.,13,0F,0F,0C,CC,00,00,33
.,.,.,1,2,1,3,1,1,1,1,3,1,.,.,.,01,A7,1F,08,EE,00,00,77
.,.,.,1,3,1,1,1,2,3,1,1,1,.,.,.,01,8F,C7,08,EE,00,00,77
.,.,.,.,.,1,3,1,3,1,2,3,.,.,.,.,00,27,BD,00,FF,88,00,FF
.,.,.,.,.,3,.,3,3,.,3,.,.,.,.,.,00,55,AA,00,FF,AA,55,FF
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,00,00,00,00,FF,FF,FF,FF
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,00,00,00,00,FF,FF,FF,FF
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,00,00,00,00,FF,FF,FF,FF
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,00,00,00,00,FF,FF,FF,FF
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,00,00,00,00,FF,FF,FF,FF
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,00,00,00,00,FF,FF,FF,FF
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,00,00,00,00,FF,FF,FF,FF
