3,.,.,.,.,.,.,.,88,00,77,FF
3,.,.,.,.,.,.,.,88,00,77,FF
3,3,.,.,.,.,.,.,CC,00,33,FF
3,3,.,.,.,.,.,.,CC,00,33,FF
3,.,3,.,.,.,.,.,AA,00,55,FF
3,3,3,.,.,.,.,.,EE,00,11,FF
3,3,1,.,.,.,.,.,CE,00,11,FF
3,3,3,.,.,.,.,.,EE,00,11,FF
3,3,.,3,.,.,.,.,DD,00,22,FF
3,3,3,3,.,.,.,.,FF,00,00,FF
3,3,1,3,.,.,.,.,DF,00,00,FF
3,3,3,1,.,.,.,.,EF,00,00,FF
3,3,3,3,.,.,.,.,FF,00,00,FF
3,1,3,3,3,.,.,.,BF,88,00,77
3,3,3,3,0,.,.,.,FF,00,00,77
3,3,3,3,3,.,.,.,FF,88,00,77
3,3,1,3,.,.,.,.,DF,00,00,FF
3,3,3,3,3,.,.,.,FF,88,00,77
3,3,3,1,.,.,.,.,EF,00,00,FF
3,3,3,3,3,.,.,.,FF,88,00,77
3,3,3,1,.,.,.,.,EF,00,00,FF
3,3,3,3,.,.,.,.,FF,00,00,FF
3,3,3,1,.,.,.,.,EF,00,00,FF
3,3,.,3,.,.,.,.,DD,00,22,FF
3,3,3,.,.,.,.,.,EE,00,11,FF
3,3,1,.,.,.,.,.,CE,00,11,FF
3,3,3,.,.,.,.,.,EE,00,11,FF
3,3,.,.,.,.,.,.,CC,00,33,FF
3,3,.,.,.,.,.,.,CC,00,33,FF
3,3,.,.,.,.,.,.,CC,00,33,FF
3,.,.,.,.,.,.,.,88,00,77,FF
3,.,.,.,.,.,.,.,88,00,77,FF
