.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,00,00,00,00,FF,FF,FF,FF
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,00,00,00,00,FF,FF,FF,FF
.,.,.,0,0,.,.,.,.,.,.,.,.,0,.,.,00,00,00,00,EE,77,FF,BB
.,.,0,3,3,0,.,.,.,.,.,.,0,2,0,.,11,88,00,40,CC,33,FF,11
.,.,0,3,3,3,0,.,.,.,.,.,.,0,2,0,11,CC,00,20,CC,11,FF,88
.,.,0,0,3,3,0,.,.,.,.,.,.,0,2,0,00,CC,00,20,CC,11,FF,88
.,0,1,1,1,0,.,.,.,.,.,.,0,2,2,0,03,08,00,60,88,33,FF,00
.,0,1,1,0,.,.,.,.,.,.,.,0,2,2,0,03,00,00,60,88,77,FF,00
0,1,1,0,.,0,0,0,0,0,0,0,2,2,2,0,06,00,00,E0,00,88,00,00
0,1,1,0,0,1,2,2,2,2,22,0,22,2,2,2,06,34,#NUM!,#NUM!,00,00,00,00
0,1,1,1,1,1,2,0,0,0,2,1,3,3,2,2,07,2C,21,FC,00,00,00,00
0,1,1,1,1,1,2,0,2,2,2,1,3,3,33,2,07,2C,E1,#NUM!,00,00,00,00
.,0,1,1,1,1,2,2,2,22,2,1,3,3,1,2,03,3C,#NUM!,DE,88,00,00,00
.,.,0,0,0,1,2,2,2,2,0,0,3,3,3,2,00,34,C0,FE,CC,00,00,00
.,.,.,.,.,0,0,0,0,2,.,.,0,3,0,0,00,00,40,44,FF,88,33,00
.,.,.,.,.,.,.,.,.,0,.,.,.,0,.,.,00,00,00,00,FF,FF,BB,BB
