1,.,.,.,.,.,.,.,08,00,77,FF
1,.,.,.,.,.,.,.,08,00,77,FF
1,1,.,.,.,.,.,.,0C,00,33,FF
1,1,.,.,.,.,.,.,0C,00,33,FF
1,1,1,.,.,.,.,.,0E,00,11,FF
1,3,1,1,.,.,.,.,4F,00,00,FF
1,1,1,1,.,.,.,.,0F,00,00,FF
2,1,.,1,1,.,.,.,85,08,22,77
2,2,1,1,1,.,.,.,C3,08,00,77
1,1,1,3,1,1,.,.,1F,0C,00,33
2,2,1,1,1,1,.,.,C3,0C,00,33
1,2,3,1,1,1,.,.,6B,0C,00,33
2,1,2,1,1,1,.,.,A5,0C,00,33
2,1,2,0,1,1,.,.,A4,0C,00,33
1,2,1,2,1,1,.,.,5A,0C,00,33
1,1,3,3,1,1,.,.,3F,0C,00,33
2,1,3,1,1,1,.,.,A7,0C,00,33
1,2,1,3,1,1,.,.,5B,0C,00,33
1,2,2,1,1,1,.,.,69,0C,00,33
1,3,1,2,1,1,.,.,5E,0C,00,33
2,1,1,1,1,1,.,.,87,0C,00,33
1,2,2,0,1,1,.,.,68,0C,00,33
2,1,1,1,1,1,.,.,87,0C,00,33
2,1,3,1,1,1,.,.,A7,0C,00,33
1,1,1,1,1,.,.,.,0F,08,00,77
2,1,1,1,1,.,.,.,87,08,00,77
1,1,1,1,.,.,.,.,0F,00,00,FF
2,1,1,1,.,.,.,.,87,00,00,FF
1,1,1,.,.,.,.,.,0E,00,11,FF
1,1,.,.,.,.,.,.,0C,00,33,FF
1,.,.,.,.,.,.,.,08,00,77,FF
1,.,.,.,.,.,.,.,08,00,77,FF
