.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,00,00,00,00,FF,FF,FF,FF
.,.,.,.,.,.,0,0,0,0,.,.,.,.,.,.,00,00,00,00,FF,CC,33,FF
.,.,.,.,.,0,0,0,0,0,0,.,.,.,.,.,00,00,00,00,FF,88,11,FF
.,.,.,.,.,0,0,0,0,0,0,.,.,.,.,.,00,00,00,00,FF,88,11,FF
.,.,.,.,0,0,0,.,.,0,0,0,.,.,.,.,00,00,00,00,FF,11,88,FF
.,.,.,.,0,0,0,.,.,0,0,0,.,.,.,.,00,00,00,00,FF,11,88,FF
.,.,.,.,0,0,.,.,.,.,0,0,.,.,.,.,00,00,00,00,FF,33,CC,FF
.,.,.,.,0,0,.,.,.,.,0,0,.,.,.,.,00,00,00,00,FF,33,CC,FF
.,.,.,.,0,0,.,.,.,.,0,0,.,.,.,.,00,00,00,00,FF,33,CC,FF
.,.,.,.,0,0,.,.,.,.,0,0,.,.,.,.,00,00,00,00,FF,33,CC,FF
.,.,.,.,0,0,0,.,.,0,0,0,.,.,.,.,00,00,00,00,FF,11,88,FF
.,.,.,.,0,0,0,.,.,0,0,0,.,.,.,.,00,00,00,00,FF,11,88,FF
.,.,.,.,.,0,0,0,0,0,0,.,.,.,.,.,00,00,00,00,FF,88,11,FF
.,.,.,.,.,0,0,0,0,0,0,.,.,.,.,.,00,00,00,00,FF,88,11,FF
.,.,.,.,.,.,0,0,0,0,.,.,.,.,.,.,00,00,00,00,FF,CC,33,FF
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,00,00,00,00,FF,FF,FF,FF
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,00,00,00,00,FF,FF,FF,FF
.,.,.,.,.,.,0,0,0,0,.,.,.,.,.,.,00,00,00,00,FF,CC,33,FF
.,.,.,.,.,0,0,0,0,0,0,.,.,.,.,.,00,00,00,00,FF,88,11,FF
.,.,.,.,.,0,1,1,1,1,0,.,.,.,.,.,00,03,0C,00,FF,88,11,FF
.,.,.,.,0,1,1,.,.,1,3,0,.,.,.,.,00,06,26,00,FF,11,88,FF
.,.,.,.,0,1,1,.,.,3,3,0,.,.,.,.,00,06,66,00,FF,11,88,FF
.,.,.,.,0,1,.,.,.,.,3,0,.,.,.,.,00,04,22,00,FF,33,CC,FF
.,.,.,.,0,1,.,.,.,.,3,0,.,.,.,.,00,04,22,00,FF,33,CC,FF
.,.,.,.,0,1,.,.,.,.,3,0,.,.,.,.,00,04,22,00,FF,33,CC,FF
.,.,.,.,0,1,.,.,.,.,3,0,.,.,.,.,00,04,22,00,FF,33,CC,FF
.,.,.,.,0,1,1,.,.,3,3,0,.,.,.,.,00,06,66,00,FF,11,88,FF
.,.,.,.,0,1,3,.,.,3,3,0,.,.,.,.,00,26,66,00,FF,11,88,FF
.,.,.,.,.,0,3,3,3,3,0,.,.,.,.,.,00,33,CC,00,FF,88,11,FF
.,.,.,.,.,0,0,0,0,0,0,.,.,.,.,.,00,00,00,00,FF,88,11,FF
.,.,.,.,.,.,0,0,0,0,.,.,.,.,.,.,00,00,00,00,FF,CC,33,FF
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,00,00,00,00,FF,FF,FF,FF
