T01 - Vine (col 0, row 0),,,,,,,,,
2,2,0,2,0,0,0,0,,
2,2,0,2,0,0,0,0,,
2,2,2,2,0,0,0,0,,
2,2,2,2,0,0,0,0,,
0,2,2,0,0,0,0,0,,
0,2,2,0,0,0,0,0,,
2,2,2,0,2,2,0,0,,
2,2,0,0,2,2,0,0,,
2,2,0,0,2,2,0,0,,
2,2,0,0,0,0,0,0,,
2,0,0,2,0,0,0,0,,
2,0,2,2,0,2,0,0,,
0,0,2,2,0,0,0,0,,
0,2,2,2,0,0,0,2,,
0,0,2,2,0,0,0,0,,
0,0,2,2,0,0,0,0,,
,,,,,,,,,
T02 - Vine (col 0, row 1),,,,,,,,,
0,0,2,2,0,0,0,0,,
0,2,2,2,0,0,0,0,,
2,2,2,0,0,2,0,0,,
2,2,0,0,2,2,2,0,,
2,2,0,2,2,2,2,0,,
2,0,2,2,2,2,2,0,,
0,0,0,2,2,2,2,0,,
0,2,0,2,2,2,2,0,,
0,2,2,2,0,2,2,0,,
0,2,2,2,0,0,0,0,,
0,2,2,2,0,0,0,0,,
0,2,0,0,0,0,0,0,,
2,2,0,0,2,0,0,0,,
2,2,0,0,0,0,0,0,,
2,2,0,2,0,0,0,0,,
2,0,0,2,0,0,0,0,,
,,,,,,,,,
